ID	HPO_Terms	Diagnostic_Genes
PMID_28830446_Patient_2	HP:0010702; HP:0002140; HP:0025528; HP:0002301; HP:0003493; HP:0033833; HP:0030783; HP:0001954; HP:0034056; HP:0011107; HP:0002027; HP:0030880; HP:0005197; HP:0033260	ADA2
PMID_28830446_Patient_1	HP:0002140; HP:0002301; HP:0002315; HP:0002321; HP:0025343; HP:0005197; HP:0003493; HP:0033833; HP:0030783; HP:0002829; HP:0033505; HP:0000623; HP:0012246; HP:0011227; HP:0001954; HP:0011107; HP:0002027	ADA2
PMID_25469541_patient	HP:0011003; HP:0002938; HP:0002650; HP:0001387; HP:0011623; HP:0001642; HP:0030961; HP:0001156; HP:0004322	ADAMTS10
PMID_35962790_Family_A_Individual_2_(II-4)	HP:0005879; HP:0001032; HP:0009130; HP:0009884; HP:0004209; HP:0033748; HP:0006089; HP:0001771; HP:0006466; HP:0006380; HP:0000369; HP:0000678; HP:0002650; HP:0003306; HP:0002942	ADAMTS15
PMID_35962790_Family_B_Individual_3_(II-6)	HP:0005879; HP:0001032; HP:0009130; HP:0009884; HP:0004209; HP:0033748; HP:0006089; HP:0006466; HP:0006380; HP:0000369; HP:0000316; HP:0200160; HP:0002650; HP:0003306; HP:0002942; HP:0000023; HP:0001634	ADAMTS15
PMID_35962790_Family_D_Individual_5_(II-2)	HP:0005879; HP:0001032; HP:0009130; HP:0009884; HP:0004209; HP:0001771; HP:0006466; HP:0006380; HP:0000486; HP:0000508; HP:0000218; HP:0000678; HP:0002942; HP:0000034	ADAMTS15
PMID_35962790_Family_A_Individual_1_(II-1)	HP:0005879; HP:0001032; HP:0009130; HP:0009884; HP:0004209; HP:0033748; HP:0001762; HP:0001771; HP:0006466; HP:0006380; HP:0031006; HP:0000369; HP:0000486; HP:0000678; HP:0002650; HP:0003306; HP:0002942; HP:0000028	ADAMTS15
PMID_35962790_Family_C_Individual_4_(II-1)	HP:0005879; HP:0001032; HP:0009130; HP:0009884; HP:0004209; HP:0001771; HP:0000369; HP:0000028; HP:0000023	ADAMTS15
PMID_27057656_patient	HP:0002205; HP:0001263; HP:0005792; HP:0001377; HP:0003097; HP:0010049; HP:0001488; HP:0000233; HP:0003022; HP:0002750; HP:0003066; HP:0000343; HP:0009803; HP:0001156; HP:0004322	ADAMTSL2
PMID_29707406_A_II_2	HP:0002069; HP:0002187; HP:0000750; HP:0001251; HP:0007301; HP:0006821; HP:0001270; HP:0007256	ADGRG1
PMID_29707406_C_II_4	HP:0002069; HP:0002136; HP:0001251; HP:0007301; HP:0001270; HP:0007256; HP:0001257; HP:0000639	ADGRG1
PMID_29707406_C_II_5	HP:0002069; HP:0002136; HP:0001251; HP:0007301; HP:0001270; HP:0007256; HP:0001257; HP:0000639	ADGRG1
PMID_29707406_B_III_2	HP:0002069; HP:0001251; HP:0007301; HP:0001270; HP:0007256	ADGRG1
PMID_29707406_A_II_3	HP:0002069; HP:0002187; HP:0000750; HP:0001251; HP:0007301; HP:0001270; HP:0007256	ADGRG1
PMID_29707406_B_III_6	HP:0002069; HP:0001251; HP:0007301; HP:0001270; HP:0007256	ADGRG1
PMID_29707406_C_II_6	HP:0002069; HP:0002136; HP:0001251; HP:0007301; HP:0001270; HP:0007256; HP:0001257; HP:0000639	ADGRG1
PMID_27376152_FPLD_122_3	HP:0025383; HP:0002155; HP:0000819; HP:0000822; HP:0009125; HP:0000956; HP:0003236; HP:0002240; HP:0003074; HP:0002149; HP:0001997; HP:0002870	ADRA2A
PMID_27376152_FPLD_122_2	HP:0025383; HP:0002155; HP:0000819; HP:0000822; HP:0009125; HP:0003236; HP:0003074	ADRA2A
PMID_27376152_FPLD_122_8	HP:0025383; HP:0000819; HP:0000822; HP:0009125; HP:0002155; HP:0003236; HP:0003074	ADRA2A
PMID_29606302_C_IV_4	HP:0001822; HP:0001765; HP:0002761; HP:0000938; HP:0001582; HP:0000974; HP:0001763; HP:0001058	AEBP1
PMID_30759870_LOVD_ID_AN_006205	HP:0000218; HP:0001270; HP:0000978; HP:0010810; HP:0012432; HP:0001763; HP:0002619; HP:0004417; HP:0001582; HP:0001027; HP:0001537; HP:0001058; HP:0000938; HP:0003419; HP:0005001; HP:0000974; HP:0004419; HP:0000993; HP:0001822; HP:0001252; HP:0000704; HP:0002943; HP:0031158	AEBP1
PMID_29606302_B_II_1	HP:0002827; HP:0001822; HP:0001765; HP:0002943; HP:0002761; HP:0025232; HP:0000938; HP:0003834; HP:0001075; HP:0001582; HP:0000974; HP:0000978; HP:0002933; HP:0001634; HP:0000347; HP:0001763; HP:0001058; HP:0000953; HP:0012727	AEBP1
PMID_29606302_A_II_1	HP:0001270; HP:0001822; HP:0001765; HP:0002761; HP:0000938; HP:0002827; HP:0004602; HP:0001075; HP:0001582; HP:0034273; HP:0000974; HP:0000978; HP:0001634; HP:0000028; HP:0000400; HP:0001763; HP:0000692; HP:0001058	AEBP1
PMID_29606302_C_IV_6	HP:0001822; HP:0001765; HP:0003177; HP:0001252; HP:0002761; HP:0004976; HP:0100658; HP:0000938; HP:0003834; HP:0002827; HP:0001075; HP:0001582; HP:0000974; HP:0000978; HP:0002933; HP:0000023; HP:0001537; HP:0000465; HP:0002162; HP:0000218; HP:0000400; HP:0001488; HP:0001763; HP:0001058; HP:0010562	AEBP1
PMID_24951643_Kinship_1_Patient_1	HP:0002515; HP:0003701; HP:0003547; HP:0009027; HP:0030237; HP:0003393	AGRN
PMID_24951643_Kinship_1_Patient_2	HP:0009027; HP:0030237; HP:0003393; HP:0034052	AGRN
PMID_24951643_Kinship_2_Patient_3	HP:0003693; HP:0009027; HP:0003388; HP:0030237; HP:0002093	AGRN
PMID_24951643_Kinship_2_Patient_4	HP:0003393; HP:0034052; HP:0009027; HP:0030237; HP:0003388	AGRN
PMID_24951643_Patient_5	HP:0009027; HP:0003388; HP:0034052	AGRN
