ID	HPO_Terms	Diagnostic_Genes
SCV000740998	HP:0002933; HP:0002205; HP:0011344; HP:0001876; HP:0000347; HP:0030680; HP:0002540; HP:0000256; HP:0000369; HP:0002098; HP:0010878; HP:0000465; HP:0001344; HP:0004313; HP:0002090	MAP2K1
SCV004048065	HP:0001258	SPG11
SCV000484415	HP:0001263; HP:0000252; HP:0002020; HP:0002119; HP:0002023; HP:0006695; HP:0002558; HP:0100702; HP:0000750	HDAC8
SCV005419393	HP:0001519	FBN1
SCV000742090	HP:0002804; HP:0011324; HP:0000218; HP:0000193; HP:0002089; HP:0002780; HP:0002092; HP:0000238; HP:0000028; HP:0000047; HP:0002015; HP:0001684; HP:0001655; HP:0000586; HP:0100876; HP:0000308; HP:0000465; HP:0000470	ACTC1
SCV004032297	HP:0007359; HP:0000750	TSC1
SCV003842227	HP:0001263; HP:0001250; HP:0009719; HP:0009717; HP:0009716	TSC1
SCV005397139	HP:0007359; HP:0001513; HP:0012433; HP:0006772; HP:0009730; HP:0001276; HP:0001250; HP:0001249	TSC2
SCV005368415	HP:0001250; HP:0009729; HP:0001263; HP:0000256; HP:0010566	TSC2
SCV000999351	HP:0000750; HP:0001263; HP:0003155; HP:0001270; HP:0002121; HP:0001319; HP:0012444	PGAP2
SCV001762030	HP:0002894	BRCA2
SCV005438764	HP:0002795	CFTR
SCV005438991	HP:0002664	ERCC4
SCV001905633	HP:0000252; HP:0000717; HP:0001263; HP:0004322	VPS13B
SCV000742506	HP:0000717; HP:0001256; HP:0012758; HP:0003124; HP:0000708; HP:0000718; HP:0010529; HP:0001762; HP:0000252; HP:0000664; HP:0000341; HP:0012385; HP:0010535; HP:0001513; HP:0000389	EHMT1
SCV001447985	HP:0000708; HP:0000717; HP:0000718; HP:0001249; HP:0001263	EHMT1
SCV000742223	HP:0002076; HP:0000998; HP:0000130; HP:0002650; HP:0000677; HP:0001647; HP:0001718; HP:0001629; HP:0001131; HP:0000138; HP:0001680; HP:0007678	KRT12
SCV002072969	HP:0010741; HP:0003690; HP:0003551; HP:0008981; HP:0012722; HP:0006785; HP:0003560; HP:0003198	DES
SCV001905650	HP:0001252; HP:0001270; HP:0001324; HP:0003259; HP:0003560	LMNA
SCV003925158	HP:0001657	KCNQ1
SCV001448061	HP:0002073	KCND3
SCV001446608	HP:0000972; HP:0001805	KRT6A
SCV001446718	HP:0001249; HP:0001263	KRT5
SCV001446823	HP:0001644	LMNA
SCV001446513	HP:0005184	KCNH2
SCV002073142	HP:0000175; HP:0004401	KCNE2
SCV002576391	HP:0001263	CNOT9
SCV005187245	HP:0100665	SERPING1
SCV004100441	HP:0002090; HP:0001744; HP:0002716; HP:0012735; HP:0020087	CYBB
SCV005368014	HP:0030731; HP:0012720; HP:0031492	MSH2
SCV002073147	HP:0002664; HP:0002860	MSH2
