ID	HPO_Terms	Diagnostic_Genes
D_295720	HP:0007266; HP:0008223; HP:0010945; HP:0001290; HP:0011343; HP:0001357; HP:0001195; HP:0000076	SON
D_262954	HP:0003808; HP:0000366; HP:0000750; HP:0000286; HP:0001263; HP:0000252; HP:0008551; HP:0001319; HP:0001357; HP:0000233; HP:0000687	CACNA1D
D_262955	HP:0000592; HP:0001263; HP:0000632; HP:0005327; HP:0003508; HP:0000664; HP:0001762; HP:0000076	EBF3
D_262956	HP:0003808; HP:0000366; HP:0000750; HP:0000286; HP:0001263; HP:0000252; HP:0008551; HP:0001319; HP:0001357; HP:0000233; HP:0000687	CACNA1D
D_262957	HP:0001357; HP:0001263; HP:0000252; HP:0000483; HP:0000639; HP:0005617; HP:0001270	ATRX
D_525111	HP:0001999; HP:0000729; HP:0001822; HP:0031960; HP:0012758; HP:0002463; HP:0000739	CUL3
D_262969	HP:0000159; HP:0000289; HP:0001263; HP:0000252; HP:0002209; HP:0001328; HP:0001388	SMARCA2
D_262973	HP:0000717; HP:0000494; HP:0001510; HP:0004633; HP:0007628; HP:0000543; HP:0005328; HP:0002035; HP:0000556	CRB1
D_262978	HP:0005462; HP:0004209; HP:0002007; HP:0000316; HP:0001249; HP:0000470; HP:0006610	ERF
D_262979	HP:0000685; HP:0000767; HP:0003508; HP:0009623; HP:0011344	GRIN2B
D_262980	HP:0001999; HP:0009916; HP:0000964; HP:0002020; HP:0001263; HP:0000664	ZMYND11
D_262983	HP:0000365; HP:0006334; HP:0000358; HP:0001328; HP:0000574	BCS1L
D_295751	HP:0002020; HP:0001601; HP:0000252; HP:0000664	MBD5
D_262993	HP:0011481; HP:0001166; HP:0002553; HP:0010511; HP:0000369; HP:0010747; HP:0000418	TRRAP
D_262995	HP:0002208; HP:0002297; HP:0001250	CAMK2B
D_295770	HP:0001999; HP:0001776; HP:0003397; HP:0001028; HP:0001034; HP:0005484; HP:0011344; HP:0008850	ERCC6
D_295772	HP:0008935; HP:0011343; HP:0002943	PURA
D_263012	HP:0002007; HP:0011471; HP:0011343; HP:0008897; HP:0001250	BRWD3
D_263014	HP:0000750; HP:0001508; HP:0008872; HP:0001290; HP:0000316; HP:0001256	KMT2A
D_263022	HP:0004692; HP:0005932; HP:0000359; HP:0009815; HP:0001631; HP:0004209; HP:0000437; HP:0001263; HP:0001510; HP:0008586; HP:0000303; HP:0000252; HP:0008551; HP:0000384; HP:0000508; HP:0000108	H4C3
D_263031	HP:0010296; HP:0007598; HP:0011304; HP:0002307; HP:0000486; HP:0006108; HP:0001956	SATB2
D_263032	HP:0001999; HP:0001488; HP:0001623; HP:0008591; HP:0005850; HP:0002194; HP:0200021; HP:0002020; HP:0002579; HP:0002037; HP:0001601; HP:0000347; HP:0011343; HP:0001319; HP:0004875; HP:0000201; HP:0001838; HP:0002360; HP:0002401	SMARCA4
D_263039	HP:0002251; HP:0001798; HP:0001156; HP:0001263; HP:0000252; HP:0002164; HP:0000407	PIGO
D_263041	HP:0002793; HP:0002197; HP:0002187; HP:0006829	PURA
D_525185	HP:0410169; HP:0000414; HP:0002967; HP:0003458; HP:0001288; HP:0030234; HP:0003560; HP:0009830; HP:0002172; HP:0007663; HP:0001773; HP:0001831; HP:0045075; HP:0001762; HP:0000582; HP:0008094	MSTO1
D_328583	HP:0001251; HP:0000729; HP:0002066; HP:0001263; HP:0001107; HP:0100753	ATP1A3
D_295832	HP:0000028; HP:0000750; HP:0011081; HP:0000954; HP:0001328; HP:0000486	TET3
D_295833	HP:0030680; HP:0000185; HP:0000589; HP:0001263; HP:0000202; HP:0003508; HP:0011678	CHD7
D_295834	HP:0003808; HP:0000565; HP:0001263; HP:0011327	NFIX
D_295835	HP:0000581; HP:0002307; HP:0002015; HP:0008872; HP:0005216; HP:0000276; HP:0001840; HP:0011343; HP:0000076; HP:0000154	MED13L
D_263076	HP:0007360; HP:0002384; HP:0000666; HP:0006887; HP:0000545; HP:0002073; HP:0003390; HP:0001257	KIF1A
D_263077	HP:0000750; HP:0001263; HP:0000252; HP:0001250	GAMT
D_263083	HP:0002376; HP:0002540; HP:0100023; HP:0001250; HP:0000098; HP:0000687	ALG13
D_263085	HP:0000492; HP:0000490; HP:0001290; HP:0001263; HP:0000256; HP:0001250; HP:0002648	KCNQ2
D_263086	HP:0001999; HP:0003287; HP:0000164; HP:0000494; HP:0001263; HP:0000527; HP:0000343; HP:0000733; HP:0002058; HP:0000194; HP:0001250	KCNH1
D_263087	HP:0001999; HP:0002793; HP:0001000; HP:0000069; HP:0007598; HP:0000337; HP:0001169; HP:0004209; HP:0001864; HP:0000494; HP:0000286; HP:0009890; HP:0000158; HP:0001513; HP:0001548; HP:0000767; HP:0001763; HP:0000508; HP:0005989; HP:0001773; HP:0001182; HP:0000445; HP:0000368; HP:0000535	BRAF
D_263116	HP:0001631; HP:0000750; HP:0000219; HP:0000445	ARID1B
D_263117	HP:0000951; HP:0002069; HP:0001263; HP:0006114; HP:0100023; HP:0002360	SMC1A
D_263120	HP:0001319; HP:0001263; HP:0001999; HP:0001631	ARID1B
D_525276	HP:0009116; HP:0002980; HP:0003084; HP:0003097; HP:0005792; HP:0003026; HP:0005736	COL1A1
D_492533	HP:0002829; HP:0002342; HP:0008905; HP:0000664; HP:0033986	H1-4
D_492542	HP:0012424; HP:0000252; HP:0001250	TUBGCP4
D_263172	HP:0002804; HP:0000028; HP:0000494; HP:0002015; HP:0011968; HP:0002020; HP:0000218; HP:0002126; HP:0011344; HP:0011819	DYNC1H1
D_295941	HP:0010627; HP:0004540; HP:0000824; HP:0000294; HP:0010747; HP:0011343; HP:0000629; HP:0004322; HP:0011914	CNNM2
D_263175	HP:0002055; HP:0002007; HP:0001263; HP:0000316; HP:0000256; HP:0002343; HP:0000307; HP:0001182	CHD3
D_263178	HP:0012429; HP:0000490; HP:0002188; HP:0000293; HP:0001290; HP:0001263; HP:0000252; HP:0001250; HP:0000582	TRIT1
D_263191	HP:0000463; HP:0010055; HP:0000490; HP:0000750; HP:0000286; HP:0000293; HP:0001263; HP:0000527; HP:0000400; HP:0001212; HP:0000574; HP:0000179; HP:0000431	SHANK2
D_263220	HP:0000526; HP:0001251; HP:0001290; HP:0007750	ITPR1
D_263221	HP:0004691; HP:0002269; HP:0000153; HP:0005280; HP:0003521; HP:0002282; HP:0001028; HP:0000218; HP:0000238; HP:0001382; HP:0000256; HP:0001773; HP:0003196; HP:0004279; HP:0001831	PIK3CA
D_263223	HP:0001760; HP:0009553; HP:0000750; HP:0000369	CREBBP
D_263225	HP:0001332; HP:0001263; HP:0004209	HECW2
D_263235	HP:0000363; HP:0000581; HP:0001290; HP:0011343; HP:0003196; HP:0000319	SETD5
D_263240	HP:0000157; HP:0004209; HP:0001250; HP:0000199; HP:0008501	OFD1
D_263254	HP:0000846; HP:0004209; HP:0001875; HP:0000519; HP:0001263; HP:0000365; HP:0008064; HP:0000252; HP:0002718; HP:0008850; HP:0008070	GTF2H5
D_263271	HP:0000236; HP:0000492; HP:0002813; HP:0001545; HP:0001680; HP:0010554; HP:0000494; HP:0002714; HP:0001263; HP:0000343; HP:0000369; HP:0005026; HP:0000252; HP:0001643; HP:0001162; HP:0001857; HP:0009778; HP:0001831; HP:0002209; HP:0000176; HP:0001883; HP:0000506; HP:0001863; HP:0000535	MED12
